epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,470.876,1.07389,2.15813,1.41179,0.51194,0.46945,0.4776,0.29491,1.28097,2.45251,1.8364,0.000207696,0.000207696,0.000207696
2,952.043,1.2106,1.8527,1.51461,0.50684,0.41017,0.40342,0.23818,1.42649,2.18828,1.90508,0.000399555,0.000399555,0.000399555
3,1431.04,1.20613,1.78155,1.52958,0.59374,0.47675,0.48941,0.31287,1.31528,1.70457,1.82016,0.000574913,0.000574913,0.000574913
4,1910.06,1.14944,1.61152,1.46915,0.66798,0.5757,0.6297,0.42604,1.16271,1.35404,1.67068,0.00055075,0.00055075,0.00055075
5,2386.86,1.06185,1.4054,1.40239,0.72963,0.61019,0.70077,0.49374,1.03962,1.17408,1.55288,0.000526,0.000526,0.000526
6,2864.95,1.00506,1.2961,1.35242,0.71979,0.63796,0.69501,0.48983,1.02799,1.19748,1.52969,0.00050125,0.00050125,0.00050125
7,3344.17,0.94352,1.16033,1.30848,0.76301,0.70404,0.77198,0.56565,0.92993,0.92831,1.4436,0.0004765,0.0004765,0.0004765
8,3821.96,0.9015,1.06441,1.2736,0.82914,0.72607,0.81325,0.6094,0.90777,0.83034,1.42403,0.00045175,0.00045175,0.00045175
9,4299.22,0.86213,0.97722,1.24362,0.81921,0.73512,0.8225,0.62044,0.87062,0.82502,1.38328,0.000427,0.000427,0.000427
10,4776.41,0.83832,0.93521,1.21914,0.87161,0.75222,0.8425,0.65097,0.81004,0.75345,1.32846,0.00040225,0.00040225,0.00040225
11,5254.79,0.81674,0.88614,1.20241,0.87117,0.77416,0.85879,0.66231,0.80559,0.70797,1.31894,0.0003775,0.0003775,0.0003775
12,5731.39,0.79573,0.83962,1.18627,0.87387,0.78994,0.8774,0.67962,0.79547,0.68315,1.30676,0.00035275,0.00035275,0.00035275
13,6208.29,0.76639,0.79261,1.1624,0.87611,0.81133,0.87999,0.70151,0.75062,0.63722,1.26362,0.000328,0.000328,0.000328
14,6685.79,0.73842,0.74097,1.14294,0.86272,0.81862,0.88297,0.69863,0.72998,0.62678,1.24845,0.00030325,0.00030325,0.00030325
15,7162.61,0.71522,0.69984,1.12317,0.89575,0.80598,0.88451,0.71461,0.72415,0.59725,1.24191,0.0002785,0.0002785,0.0002785
16,7640.12,0.64273,0.54465,1.1494,0.88808,0.82417,0.90122,0.72223,0.71625,0.59614,1.24075,0.00025375,0.00025375,0.00025375
17,8118.48,0.61882,0.49835,1.12519,0.89676,0.82979,0.89917,0.73816,0.69953,0.5623,1.22473,0.000229,0.000229,0.000229
18,8595.57,0.58999,0.45781,1.10172,0.91974,0.83996,0.91438,0.75078,0.68578,0.52301,1.21682,0.00020425,0.00020425,0.00020425
19,9072.95,0.56117,0.42573,1.06983,0.9284,0.85017,0.91543,0.75835,0.66552,0.51947,1.20299,0.0001795,0.0001795,0.0001795
20,9549.24,0.53295,0.39603,1.05197,0.90002,0.86481,0.92064,0.76905,0.64963,0.49947,1.18005,0.00015475,0.00015475,0.00015475
21,10026.6,0.51155,0.37253,1.02669,0.94002,0.8523,0.92729,0.77677,0.63993,0.47775,1.17376,0.00013,0.00013,0.00013
22,10503.1,0.48098,0.34308,1.00397,0.92706,0.87975,0.93357,0.78391,0.63189,0.45205,1.17476,0.00010525,0.00010525,0.00010525
23,10981.3,0.45818,0.31922,0.98781,0.92286,0.8855,0.93405,0.78638,0.62657,0.44954,1.16786,8.05e-05,8.05e-05,8.05e-05
24,11459.4,0.43686,0.30169,0.97322,0.93635,0.88875,0.939,0.79241,0.6185,0.42745,1.16513,5.575e-05,5.575e-05,5.575e-05
25,11938.4,0.41707,0.28758,0.95636,0.94492,0.88345,0.93937,0.80104,0.60355,0.42448,1.15284,3.1e-05,3.1e-05,3.1e-05
