Timestamp,Detections,Risk Score,Decision,Item Count
2026-03-26 18:13:23,Baton,67,HIGH    — FLAG FOR INSPECTION,1
2026-03-26 18:13:44,Baton,67,HIGH    — FLAG FOR INSPECTION,1
2026-03-26 18:14:25,Baton,70,HIGH    — FLAG FOR INSPECTION,1
2026-03-26 18:19:31,Baton,70,HIGH    — FLAG FOR INSPECTION,1
2026-03-26 18:19:49,Baton,63,HIGH    — FLAG FOR INSPECTION,1
2026-03-26 18:20:31,Bullet,86,CRITICAL — DETAIN CARGO IMMEDIATELY,1
2026-03-26 18:21:16,None,0,LOW     — CLEARED (Log Only),0
2026-03-26 18:21:44,Baton,65,HIGH    — FLAG FOR INSPECTION,1
2026-03-26 20:33:49,"Sprayer, Lighter, Sprayer",27,LOW     — CLEARED (Log Only),3
2026-03-26 20:42:28,"Sprayer, Lighter, Sprayer",27,LOW     — CLEARED (Log Only),3
2026-03-26 20:42:37,"Sprayer, Lighter",27,LOW     — CLEARED (Log Only),2
2026-03-26 20:45:15,Lighter,1,LOW     — CLEARED (Log Only),1
2026-03-26 20:47:50,None,0,LOW     — CLEARED (Log Only),0
2026-03-26 21:21:16,Lighter,1,LOW     — CLEARED (Log Only),1
2026-03-26 21:37:38,"Gun, Gun, Gun, Gun, Hammer, Scissors, Scissors",70,HIGH    — FLAG FOR INSPECTION,7
2026-03-27 11:06:19,Baton,72,HIGH    — FLAG FOR INSPECTION,1
2026-03-27 11:06:45,Baton,72,HIGH    — FLAG FOR INSPECTION,1
2026-03-27 11:06:51,Baton,71,HIGH    — FLAG FOR INSPECTION,1
2026-03-27 11:23:32,Gun,80,CRITICAL — DETAIN CARGO IMMEDIATELY,1
2026-03-27 16:57:06,Baton,72,HIGH    — FLAG FOR INSPECTION,1
2026-03-27 16:57:47,None,0,LOW     — CLEARED (Log Only),0
2026-03-27 16:58:45,Baton,65,HIGH    — FLAG FOR INSPECTION,1
2026-04-04 13:41:54,Wrench,15,LOW     — CLEARED (Log Only),1
2026-04-04 13:43:47,None,65,HIGH    — FLAG FOR INSPECTION,0
2026-04-04 13:46:17,None,65,HIGH    — FLAG FOR INSPECTION,0
2026-04-04 13:47:16,None,65,HIGH    — FLAG FOR INSPECTION,0
2026-04-04 13:47:44,None,65,HIGH    — FLAG FOR INSPECTION,0
2026-04-04 13:59:49,None,65,HIGH    — FLAG FOR INSPECTION,0
2026-04-04 13:59:58,Wrench,15,LOW     — CLEARED (Log Only),1
2026-04-04 14:00:16,None,65,HIGH    — FLAG FOR INSPECTION,0
2026-04-04 14:06:07,None,65,HIGH    — FLAG FOR INSPECTION,0
2026-04-04 14:10:17,None,65,HIGH    — FLAG FOR INSPECTION,0
2026-04-04 14:13:08,None,65,HIGH    — FLAG FOR INSPECTION,0
2026-04-04 14:39:06,None,65,HIGH    — FLAG FOR INSPECTION,0
2026-04-04 14:59:20,Knife,73,HIGH    — FLAG FOR INSPECTION,1
2026-04-04 16:05:59,"Knife, Scissors, Powerbank",62,HIGH    — FLAG FOR INSPECTION,3
2026-04-04 16:08:22,Scissors,30,LOW     — CLEARED (Log Only),1
2026-04-04 16:08:35,Scissors,30,LOW     — CLEARED (Log Only),1
2026-04-04 16:08:43,"Gun, Bullet",93,CRITICAL — DETAIN CARGO IMMEDIATELY,2
2026-04-04 16:27:59,"Gun, Bullet",93,CRITICAL — DETAIN CARGO IMMEDIATELY,2
2026-04-04 16:44:58,"Gun, Bullet",93,CRITICAL — DETAIN CARGO IMMEDIATELY,2
2026-04-04 16:47:02,Scissors,30,LOW     — CLEARED (Log Only),1
2026-04-04 17:07:00,Scissors,30,LOW     — CLEARED (Log Only),1
2026-04-04 18:32:41,"Gun, Bullet",93,CRITICAL — DETAIN CARGO IMMEDIATELY,2
2026-04-04 19:28:40,"Gun, Bullet",93,CRITICAL — DETAIN CARGO IMMEDIATELY,2
2026-04-04 22:02:03,"Gun, Bullet",93,CRITICAL — DETAIN CARGO IMMEDIATELY,2
2026-04-04 22:17:20,"Gun, Bullet",93,CRITICAL — DETAIN CARGO IMMEDIATELY,2
2026-04-05 09:46:32,Knife,72,HIGH    — FLAG FOR INSPECTION,1
2026-04-05 10:12:06,Knife,72,HIGH    — FLAG FOR INSPECTION,1
2026-04-04 13:28:48,HandCuffs,43,MEDIUM  — MANUAL CHECK REQUIRED,1
2026-04-04 13:29:20,"Knife, Scissors, Scissors, Powerbank",64,HIGH    — FLAG FOR INSPECTION,4
2026-04-04 13:51:30,"Knife, Scissors, Scissors, Powerbank",64,HIGH    — FLAG FOR INSPECTION,4
2026-04-04 19:32:01,"Powerbank, Sprayer, Hammer",2,LOW     — CLEARED (Log Only),3
2026-04-04 19:32:14,None,0,LOW     — CLEARED (Log Only),0
2026-04-04 19:32:18,Powerbank,2,LOW     — CLEARED (Log Only),1
2026-04-04 19:32:29,Pliers,14,LOW     — CLEARED (Log Only),1
2026-04-04 19:33:22,"Baton, HandCuffs, HandCuffs, Powerbank",55,MEDIUM  — MANUAL CHECK REQUIRED,4
